student_id,student_name,section,gender,Attendance %,subject_1,subject_2,subject_3,subject_4,subject_5,subject_6,valid_subjects,total_marks,average_marks,percentage,failed_subjects_count,pass_status,grade,rank
STU-124,Jennifer Martin,SECTION A,Female,60,39.0,50.0,53.0,59.0,62.0,44.0,6,307.0,51.17,51.17,1,Fail,D,104
STU-125,Andrew White,SECTION A,Male,86,73.0,74.0,80.0,87.0,82.0,84.0,6,480.0,80.0,80.0,0,Pass,A,39
STU-126,Sandra Gonzalez,SECTION A,Female,67,72.0,65.0,70.0,74.0,77.0,84.0,6,442.0,73.67,73.67,0,Pass,B,54
STU-127,Emily Davis,SECTION A,Female,70,67.0,64.0,69.0,81.0,77.0,74.0,6,432.0,72.0,72.0,0,Pass,B,60
STU-128,John Davis,SECTION A,Male,98,84.0,98.0,95.0,89.0,99.0,89.0,6,554.0,92.33,92.33,0,Pass,A+,4
STU-129,Daniel Gonzalez,SECTION A,Male,80,73.0,64.0,66.0,74.0,64.0,73.0,6,414.0,69.0,69.0,0,Pass,C,69
STU-130,Susan Robinson,SECTION A,Female,96,93.0,81.0,88.0,100.0,92.0,94.0,6,548.0,91.33,91.33,0,Pass,A+,9
STU-131,Daniel Miller,SECTION B,Male,82,60.0,61.0,69.0,66.0,68.0,78.0,6,402.0,67.0,67.0,0,Pass,C,77
STU-132,Anthony Lewis,SECTION B,Male,93,82.0,98.0,95.0,96.0,100.0,97.0,6,568.0,94.67,94.67,0,Pass,A+,3
STU-133,Donald Jones,SECTION B,Male,93,87.0,79.0,97.0,93.0,100.0,95.0,6,551.0,91.83,91.83,0,Pass,A+,7
STU-134,Jessica White,SECTION B,Female,74,64.0,69.0,69.0,74.0,83.0,75.0,6,434.0,72.33,72.33,0,Pass,B,58
STU-135,Thomas White,SECTION B,Male,72,72.0,67.0,77.0,80.0,74.0,64.0,6,434.0,72.33,72.33,0,Pass,B,58
STU-136,Joshua Gonzalez,SECTION B,Male,79,69.0,71.0,79.0,82.0,85.0,81.0,6,467.0,77.83,77.83,0,Pass,B,46
STU-137,Elizabeth Taylor,SECTION B,Female,72,69.0,64.0,65.0,80.0,80.0,60.0,6,418.0,69.67,69.67,0,Pass,C,68
STU-138,Patricia Ramirez,SECTION B,Female,80,80.0,80.0,82.0,84.0,79.0,80.0,6,485.0,80.83,80.83,0,Pass,A,37
STU-139,Barbara Sanchez,SECTION B,Female,78,68.0,68.0,74.0,70.0,74.0,71.0,6,425.0,70.83,70.83,0,Pass,B,64
STU-140,Kevin Williams,SECTION B,Male,83,68.0,75.0,79.0,87.0,95.0,86.0,6,490.0,81.67,81.67,0,Pass,A,35
STU-141,Michelle Anderson,SECTION B,Female,89,82.0,81.0,86.0,96.0,97.0,89.0,6,531.0,88.5,88.5,0,Pass,A,14
STU-142,Andrew Ramirez,SECTION B,Male,82,69.0,74.0,75.0,80.0,76.0,76.0,6,450.0,75.0,75.0,0,Pass,B,51
STU-143,Michael Perez,SECTION B,Male,77,73.0,70.0,75.0,71.0,78.0,60.0,6,427.0,71.17,71.17,0,Pass,B,62
STU-144,Thomas Harris,SECTION B,Male,79,70.0,71.0,78.0,83.0,94.0,83.0,6,479.0,79.83,79.83,0,Pass,B,40
STU-145,Michael Martinez,SECTION B,Male,75,80.0,77.0,75.0,80.0,80.0,78.0,6,470.0,78.33,78.33,0,Pass,B,45
STU-146,Sandra Smith,SECTION B,Female,78,72.0,59.0,66.0,74.0,75.0,67.0,6,413.0,68.83,68.83,0,Pass,C,70
STU-147,Thomas Taylor,SECTION B,Male,77,58.0,62.0,66.0,60.0,63.0,61.0,6,370.0,61.67,61.67,0,Pass,C,88
STU-148,Paul Robinson,SECTION B,Male,90,75.0,87.0,88.0,83.0,91.0,83.0,6,507.0,84.5,84.5,0,Pass,A,24
STU-149,Karen Clark,SECTION B,Female,62,60.0,55.0,73.0,75.0,71.0,68.0,6,402.0,67.0,67.0,0,Pass,C,77
STU-150,Kevin Miller,SECTION B,Male,85,70.0,72.0,82.0,89.0,88.0,73.0,6,474.0,79.0,79.0,0,Pass,B,42
STU-151,Barbara Moore,SECTION B,Female,73,64.0,61.0,71.0,77.0,73.0,80.0,6,426.0,71.0,71.0,0,Pass,B,63
STU-152,Paul Robinson,SECTION B,Male,88,76.0,82.0,80.0,88.0,84.0,96.0,6,506.0,84.33,84.33,0,Pass,A,26
STU-153,Lisa Thomas,SECTION B,Female,86,93.0,92.0,87.0,92.0,100.0,88.0,6,552.0,92.0,92.0,0,Pass,A+,5
STU-154,Nancy Lewis,SECTION B,Female,71,62.0,64.0,56.0,65.0,65.0,74.0,6,386.0,64.33,64.33,0,Pass,C,83
STU-155,Charles Davis,SECTION B,Male,93,76.0,89.0,91.0,99.0,100.0,91.0,6,546.0,91.0,91.0,0,Pass,A+,10
STU-156,Donna Williams,SECTION B,Female,89,84.0,81.0,90.0,88.0,84.0,92.0,6,519.0,86.5,86.5,0,Pass,A,19
STU-157,Ashley Clark,SECTION B,Female,74,58.0,71.0,60.0,64.0,78.0,68.0,6,399.0,66.5,66.5,0,Pass,C,80
STU-158,Emily Harris,SECTION B,Female,87,77.0,79.0,80.0,89.0,85.0,87.0,6,497.0,82.83,82.83,0,Pass,A,30
STU-159,Ashley Moore,SECTION B,Female,92,85.0,89.0,91.0,92.0,92.0,93.0,6,542.0,90.33,90.33,0,Pass,A+,11
STU-160,Kimberly Ramirez,SECTION B,Female,65,55.0,51.0,59.0,58.0,51.0,49.0,6,323.0,53.83,53.83,0,Pass,D,98
STU-161,Richard Robinson,SECTION C,Male,78,76.0,67.0,76.0,91.0,71.0,75.0,6,456.0,76.0,76.0,0,Pass,B,50
STU-162,Richard Thompson,SECTION C,Male,86,80.0,90.0,82.0,95.0,100.0,76.0,6,523.0,87.17,87.17,0,Pass,A,17
STU-163,Nancy Anderson,SECTION C,Female,76,62.0,66.0,74.0,70.0,73.0,64.0,6,409.0,68.17,68.17,0,Pass,C,73
STU-164,Donald Brown,SECTION C,Male,85,78.0,84.0,95.0,93.0,89.0,91.0,6,530.0,88.33,88.33,0,Pass,A,15
STU-165,Jennifer Hernandez,SECTION C,Female,71,42.0,62.0,55.0,58.0,65.0,59.0,6,341.0,56.83,56.83,0,Pass,D,96
STU-166,Emily Davis,SECTION C,Female,84,67.0,57.0,72.0,73.0,70.0,71.0,6,410.0,68.33,68.33,0,Pass,C,72
STU-167,James Williams,SECTION C,Male,60,36.0,30.0,33.0,48.0,46.0,36.0,6,229.0,38.17,38.17,4,Fail,F,116
STU-168,John Davis,SECTION C,Male,77,52.0,58.0,64.0,70.0,63.0,68.0,6,375.0,62.5,62.5,0,Pass,C,84
STU-169,Patricia Ramirez,SECTION C,Female,60,49.0,44.0,49.0,57.0,62.0,48.0,6,309.0,51.5,51.5,0,Pass,D,103
STU-170,Kimberly Davis,SECTION C,Female,60,32.0,53.0,43.0,48.0,53.0,46.0,6,275.0,45.83,45.83,1,Fail,E,111
STU-171,Ashley Miller,SECTION C,Female,77,56.0,58.0,76.0,72.0,73.0,67.0,6,402.0,67.0,67.0,0,Pass,C,77
STU-172,Joshua Jackson,SECTION C,Male,78,85.0,72.0,90.0,87.0,86.0,79.0,6,499.0,83.17,83.17,0,Pass,A,28
STU-173,Ashley Sanchez,SECTION C,Female,69,62.0,67.0,59.0,62.0,67.0,58.0,6,375.0,62.5,62.5,0,Pass,C,84
STU-174,Linda Brown,SECTION C,Female,70,65.0,66.0,72.0,81.0,82.0,69.0,6,435.0,72.5,72.5,0,Pass,B,57
STU-175,Matthew Wilson,SECTION C,Male,87,79.0,77.0,83.0,84.0,93.0,83.0,6,499.0,83.17,83.17,0,Pass,A,28
STU-176,Patricia Perez,SECTION C,Female,91,75.0,77.0,83.0,86.0,97.0,70.0,6,488.0,81.33,81.33,0,Pass,A,36
STU-177,Michael Johnson,SECTION C,Male,60,52.0,55.0,54.0,59.0,64.0,60.0,6,344.0,57.33,57.33,0,Pass,D,95
STU-178,Lisa Sanchez,SECTION C,Female,81,76.0,74.0,66.0,75.0,81.0,67.0,6,439.0,73.17,73.17,0,Pass,B,55
STU-179,Joseph Miller,SECTION C,Male,84,77.0,86.0,88.0,98.0,87.0,84.0,6,520.0,86.67,86.67,0,Pass,A,18
STU-180,Sandra Jones,SECTION C,Female,60,31.0,45.0,42.0,46.0,55.0,40.0,6,259.0,43.17,43.17,1,Fail,E,114
STU-181,Sarah Anderson,SECTION C,Female,76,58.0,75.0,60.0,69.0,73.0,76.0,6,411.0,68.5,68.5,0,Pass,C,71
STU-182,Jennifer Anderson,SECTION C,Female,68,57.0,61.0,53.0,61.0,72.0,63.0,6,367.0,61.17,61.17,0,Pass,C,89
STU-183,Andrew Brown,SECTION C,Male,60,28.0,28.0,34.0,45.0,42.0,30.0,6,207.0,34.5,34.5,4,Fail,F,119
STU-184,Emily Clark,SECTION C,Female,87,86.0,90.0,89.0,81.0,82.0,82.0,6,510.0,85.0,85.0,0,Pass,A,22
STU-185,Jennifer Robinson,SECTION C,Female,80,78.0,72.0,84.0,80.0,82.0,88.0,6,484.0,80.67,80.67,0,Pass,A,38
STU-186,Joseph Garcia,SECTION C,Male,66,69.0,57.0,58.0,58.0,67.0,55.0,6,364.0,60.67,60.67,0,Pass,C,91
STU-187,Ashley Miller,SECTION C,Female,60,53.0,47.0,52.0,57.0,55.0,62.0,6,326.0,54.33,54.33,0,Pass,D,97
STU-188,John Garcia,SECTION C,Male,75,63.0,71.0,75.0,78.0,67.0,68.0,6,422.0,70.33,70.33,0,Pass,B,66
STU-189,Betty Rodriguez,SECTION C,Female,60,26.0,35.0,32.0,40.0,41.0,39.0,6,213.0,35.5,35.5,4,Fail,F,118
STU-190,Donald Martinez,SECTION C,Male,76,50.0,64.0,65.0,70.0,62.0,60.0,6,371.0,61.83,61.83,0,Pass,C,87
STU-191,Emily Perez,SECTION D,Female,63,41.0,41.0,50.0,45.0,54.0,41.0,6,272.0,45.33,45.33,0,Pass,E,112
STU-192,David Miller,SECTION D,Male,72,53.0,65.0,61.0,69.0,57.0,62.0,6,367.0,61.17,61.17,0,Pass,C,89
STU-193,Patricia Jackson,SECTION D,Female,88,79.0,87.0,80.0,86.0,74.0,89.0,6,495.0,82.5,82.5,0,Pass,A,32
STU-194,John White,SECTION D,Male,60,39.0,40.0,32.0,38.0,39.0,30.0,6,218.0,36.33,36.33,5,Fail,F,117
STU-195,Patricia Jackson,SECTION D,Female,60,35.0,39.0,49.0,50.0,47.0,59.0,6,279.0,46.5,46.5,2,Fail,E,109
STU-196,Kimberly Garcia,SECTION D,Female,81,79.0,80.0,93.0,83.0,83.0,78.0,6,496.0,82.67,82.67,0,Pass,A,31
STU-197,Kimberly Williams,SECTION D,Female,64,53.0,54.0,52.0,66.0,70.0,60.0,6,355.0,59.17,59.17,0,Pass,D,93
STU-198,Robert Martin,SECTION D,Male,86,67.0,86.0,89.0,83.0,84.0,83.0,6,492.0,82.0,82.0,0,Pass,A,33
STU-199,Jessica Gonzalez,SECTION D,Female,64,51.0,44.0,48.0,63.0,55.0,51.0,6,312.0,52.0,52.0,0,Pass,D,100
STU-200,Donna Davis,SECTION D,Female,87,74.0,75.0,83.0,92.0,80.0,75.0,6,479.0,79.83,79.83,0,Pass,B,40
STU-201,John Martin,SECTION D,Male,62,47.0,48.0,50.0,57.0,57.0,51.0,6,310.0,51.67,51.67,0,Pass,D,102
STU-202,Donna Jackson,SECTION D,Female,72,73.0,75.0,73.0,74.0,77.0,77.0,6,449.0,74.83,74.83,0,Pass,B,52
STU-203,Thomas Miller,SECTION D,Male,86,80.0,78.0,82.0,90.0,79.0,83.0,6,492.0,82.0,82.0,0,Pass,A,33
STU-204,Daniel Davis,SECTION D,Male,75,76.0,63.0,68.0,73.0,82.0,67.0,6,429.0,71.5,71.5,0,Pass,B,61
STU-205,Elizabeth Perez,SECTION D,Female,75,61.0,60.0,61.0,66.0,70.0,55.0,6,373.0,62.17,62.17,0,Pass,C,86
STU-206,Donald Hernandez,SECTION D,Male,60,55.0,63.0,57.0,60.0,74.0,51.0,6,360.0,60.0,60.0,0,Pass,C,92
STU-207,Robert Smith,SECTION D,Male,89,85.0,86.0,89.0,87.0,82.0,83.0,6,512.0,85.33,85.33,0,Pass,A,21
STU-208,Donna Brown,SECTION D,Female,67,41.0,47.0,51.0,53.0,57.0,44.0,6,293.0,48.83,48.83,0,Pass,E,107
STU-209,Susan Taylor,SECTION D,Female,60,37.0,40.0,40.0,49.0,51.0,44.0,6,261.0,43.5,43.5,1,Fail,E,113
STU-210,Nancy Lewis,SECTION D,Female,63,63.0,61.0,70.0,65.0,80.0,64.0,6,403.0,67.17,67.17,0,Pass,C,76
STU-211,Jessica Lopez,SECTION D,Female,74,71.0,66.0,77.0,75.0,77.0,72.0,6,438.0,73.0,73.0,0,Pass,B,56
STU-212,Sandra Clark,SECTION D,Female,60,49.0,51.0,51.0,50.0,55.0,50.0,6,306.0,51.0,51.0,0,Pass,D,105
STU-213,Charles Martin,SECTION D,Male,69,72.0,59.0,66.0,70.0,71.0,66.0,6,404.0,67.33,67.33,0,Pass,C,75
STU-214,Paul Smith,SECTION D,Male,87,88.0,84.0,91.0,99.0,100.0,90.0,6,552.0,92.0,92.0,0,Pass,A+,5
STU-215,Andrew Martinez,SECTION D,Male,78,65.0,60.0,70.0,70.0,76.0,65.0,6,406.0,67.67,67.67,0,Pass,C,74
STU-216,Michael Lewis,SECTION D,Male,77,73.0,70.0,73.0,79.0,84.0,79.0,6,458.0,76.33,76.33,0,Pass,B,49
STU-217,Linda Lewis,SECTION D,Female,89,81.0,79.0,89.0,86.0,95.0,84.0,6,514.0,85.67,85.67,0,Pass,A,20
STU-218,Emily Jones,SECTION D,Female,75,64.0,78.0,81.0,81.0,94.0,73.0,6,471.0,78.5,78.5,0,Pass,B,44
STU-219,Michelle Miller,SECTION D,Female,60,35.0,28.0,35.0,35.0,32.0,32.0,6,197.0,32.83,32.83,6,Fail,F,120
STU-220,Richard Perez,SECTION D,Male,86,91.0,82.0,89.0,94.0,94.0,85.0,6,535.0,89.17,89.17,0,Pass,A,12
